Instância;Número de Arestas;Média de Arestas por Rótulos;Desvio Padrão de Arestas por Rótulos;Mínimo de Arestas por Rótulos;Máximo de Arestas por Rótulos;Número de Vértices com Grau 1;Média do Grau dos Vértices;Desvio Padrão do Grau dos Vértices;Grau Mínimo dos Vértices;Grau Máximo dos Vértices
40-0,5-40-7;390;9,75;37,8759;3;23;0;19,5;18,1672;13;27
40-0,5-40-8;387;9,675;30,0798;3;16;0;19,35;16,8871;13;28
40-0,5-40-9;388;9,7;34,0518;2;16;0;19,4;59,074;11;39
40-0,2-40-0;156;3,9;49,2548;1;8;0;7,8;40,6635;4;16
40-0,2-40-1;156;3,9;50,572;0;8;0;7,8;57,2777;4;19
40-0,2-40-2;156;3,9;36,6227;1;7;0;7,8;35,367;3;13
40-0,2-40-3;156;3,9;55,5293;0;10;0;7,8;85,5811;3;28
40-0,2-40-4;155;3,875;53,5717;1;9;0;7,75;108,868;2;38
40-0,2-40-5;156;3,9;49,2548;0;7;0;7,8;53,494;3;18
40-0,2-40-6;156;3,9;50,572;0;8;0;7,8;34,0649;3;15
40-0,2-40-7;156;3,9;54,634;0;11;0;7,8;32,3321;3;15
40-0,2-40-8;156;3,9;51,8558;1;10;0;7,8;33,4564;4;15
40-0,2-40-9;156;3,9;48,92;0;7;0;7,8;115,925;3;39
50-0,8-50-0;972;19,44;24,0653;9;31;0;38,88;6,47903;32;44
50-0,8-50-1;972;19,44;19,0304;11;26;0;38,88;8,35236;32;46
50-0,8-50-2;973;19,46;22,0478;11;30;0;38,92;12,7317;28;47
50-0,8-50-3;972;19,44;20,6572;11;29;0;38,88;11,8496;29;45
50-0,8-50-4;975;19,5;22,9398;11;29;0;39;8,50417;28;45
50-0,8-50-5;974;19,48;22,8711;12;30;0;38,96;8,61995;29;46
50-0,8-50-6;974;19,48;20,4887;10;28;0;38,96;11,2112;25;48
50-0,8-50-7;972;19,44;20,3994;12;30;0;38,88;10,9199;31;48
50-0,8-50-8;974;19,48;22,2165;9;30;0;38,96;8,40322;31;44
50-0,8-50-9;971;19,42;19,5428;12;29;0;38,84;10,2646;32;46
50-0,5-50-0;611;12,22;27,4496;4;21;0;24,44;13,3003;18;32
50-0,5-50-1;610;12,2;27,4804;5;21;0;24,4;20,9778;15;35
50-0,5-50-2;610;12,2;27,2348;4;20;0;24,4;51,3719;10;47
50-0,5-50-3;609;12,18;30,6181;6;21;0;24,36;49,9322;12;45
50-0,5-50-4;611;12,22;30,3242;5;21;0;24,44;15,7868;15;33
50-0,5-50-5;610;12,2;29,8253;5;22;0;24,4;16,9178;18;36
50-0,5-50-6;610;12,2;22,7745;6;18;0;24,4;31,5866;11;37
50-0,5-50-7;610;12,2;28,7704;5;19;0;24,4;34,1519;12;36
50-0,5-50-8;609;12,18;24,994;3;18;0;24,36;13,8302;17;34
50-0,5-50-9;610;12,2;26,2295;6;19;0;24,4;30,6584;13;38
50-0,2-50-0;245;4,9;43,4363;0;9;0;9,8;41,1213;4;19
50-0,2-50-1;245;4,9;40,663;1;9;0;9,8;50,6928;3;22
50-0,2-50-2;245;4,9;42,27;1;12;0;9,8;112,152;3;44
50-0,2-50-3;245;4,9;51,0204;0;11;0;9,8;109,75;3;45
50-0,2-50-4;245;4,9;46,5825;0;11;0;9,8;34,8735;2;16
50-0,2-50-5;245;4,9;35,8743;1;9;0;9,8;31,4842;4;17
50-0,2-50-6;245;4,9;39,2028;2;9;0;9,8;93,6777;2;37
50-0,2-50-7;245;4,9;44,9443;1;11;0;9,8;91,6097;2;36
50-0,2-50-8;245;4,9;39,6255;1;10;0;9,8;43,8657;4;19
50-0,2-50-9;245;4,9;36,1057;2;9;0;9,8;89,1909;2;36
